sequence,window_idx,start_frame,end_frame,baseline_type,method_type,baseline_mean_delta_norm,method_mean_delta_norm,baseline_var_delta_cosine,method_var_delta_cosine,baseline_mean_delta_cosine,method_mean_delta_cosine,convergence_improve_pct
co3d_apple_110_13051_23361,0,0,11,cut3r,ttt3r,187.3840045928955,129.7570676803589,0.013728742499493319,0.053985489592503,0.06360212771720622,0.45181987266490137,30.75339169836548
co3d_apple_110_13051_23361,1,6,17,cut3r,ttt3r,176.30255572001138,123.14690748850505,0.013297882313086174,0.06216040450537853,0.10715476222071818,0.49586955803169586,30.15024258407421
co3d_apple_110_13051_23361,2,12,23,cut3r,ttt3r,192.27942657470703,132.38202476501465,0.016685885338900197,0.05686737025197473,0.0955608689244935,0.4282628053435392,31.151227604904424
co3d_apple_110_13051_23361,3,18,29,cut3r,ttt3r,209.07288360595703,140.36023139953613,0.009984632036294341,0.046848681929382865,0.05475259513493356,0.367109461504355,32.86540608294493
co3d_apple_110_13051_23361,4,24,35,cut3r,ttt3r,194.75346247355142,131.70955530802408,0.00800175262439257,0.03702936035848576,-0.001357459550553625,0.36391171754537344,32.3711354677911
co3d_apple_110_13051_23361,5,30,41,cut3r,ttt3r,212.22912216186523,138.49597104390463,0.006787791411018905,0.043626084026176445,0.01793224656388871,0.35942443439622684,34.74224006907245
co3d_bottle_618_100690_201667,0,0,11,cut3r,ttt3r,257.7510935465495,147.98157246907553,0.07364660671206281,0.22143646574969927,0.2224320133948794,0.48507851864618523,42.58741236248114
co3d_bottle_618_100690_201667,1,6,17,cut3r,ttt3r,285.662779490153,153.28510538736978,0.06025676249847052,0.16785836911392996,0.18936996235808284,0.5110926596917491,46.34053982778176
co3d_bottle_618_100690_201667,2,12,23,cut3r,ttt3r,287.6254145304362,161.6307373046875,0.07865093833659594,0.21319175657067663,0.1888242654057677,0.4457236873260798,43.80512668932308
co3d_bottle_618_100690_201667,3,18,29,cut3r,ttt3r,287.40896733601886,157.53389167785645,0.05282978137671666,0.14265486976843308,0.17904064046605248,0.5021533734256624,45.18824755607605
co3d_bottle_618_100690_201667,4,24,35,cut3r,ttt3r,271.3494593302409,151.04604212443033,0.09995704489246224,0.21127248569087823,0.2440708765082717,0.5104660554448472,44.335233798788245
co3d_bottle_618_100690_201667,5,30,41,cut3r,ttt3r,261.2059605916341,149.0815289815267,0.0724501913974901,0.20927125703303445,0.2101977624167127,0.47310302893209144,42.92567878471992
