================================================================================
Three-Layer Joint Ablation Summary
================================================================================

Config                    ALL err      ScanNet          TUM   vs cut3r
----------------------------------------------------------------------
cut3r                0.0745+0.0407 0.0438+0.0072 0.1129+0.0318      +0.0%
ttt3r                0.0697+0.0383 0.0418+0.0079 0.1047+0.0320      -6.4%
L1+cut3r             0.0738+0.0406 0.0439+0.0078 0.1111+0.0335      -1.0%
L1+ttt3r             0.0702+0.0387 0.0419+0.0082 0.1057+0.0320      -5.7%
L2+cut3r             0.0708+0.0388 0.0424+0.0076 0.1064+0.0323      -4.9%
L2+ttt3r             0.0683+0.0373 0.0408+0.0083 0.1025+0.0305      -8.4%
L3+cut3r             0.0719+0.0387 0.0438+0.0075 0.1070+0.0328      -3.5%
L3+ttt3r             0.0692+0.0382 0.0415+0.0079 0.1038+0.0324      -7.2%
L23+cut3r            0.0698+0.0381 0.0423+0.0081 0.1041+0.0325      -6.3%
L23+ttt3r            0.0690+0.0381 0.0411+0.0086 0.1037+0.0316      -7.5%
L123+cut3r           0.0703+0.0381 0.0424+0.0081 0.1051+0.0316      -5.7%
L123+ttt3r           0.0699+0.0384 0.0419+0.0091 0.1049+0.0318      -6.2%

--- Per-scene errors ---
Scene                                          ds       cut3r       ttt3r    L1+cut3r    L1+ttt3r    L2+cut3r    L2+ttt3r    L3+cut3r    L3+ttt3r   L23+cut3r   L23+ttt3r  L123+cut3r  L123+ttt3r
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
scene0707_00                                  sca      0.0334      0.0305      0.0331      0.0303      0.0314      0.0285      0.0335      0.0299      0.0310      0.0279      0.0302      0.0280 
scene0717_00                                  sca      0.0469      0.0474      0.0485      0.0481      0.0470      0.0472      0.0478      0.0467      0.0487      0.0480      0.0484      0.0491 
scene0740_00                                  sca      0.0530      0.0522      0.0559      0.0534      0.0512      0.0516      0.0537      0.0507      0.0510      0.0517      0.0532      0.0550 
scene0749_00                                  sca      0.0431      0.0400      0.0416      0.0395      0.0402      0.0397      0.0416      0.0398      0.0390      0.0394      0.0388      0.0391 
scene0776_00                                  sca      0.0479      0.0437      0.0474      0.0438      0.0468      0.0432      0.0471      0.0439      0.0463      0.0437      0.0456      0.0445 
scene0784_00                                  sca      0.0449      0.0404      0.0411      0.0365      0.0433      0.0376      0.0463      0.0409      0.0442      0.0383      0.0408      0.0365 
scene0788_00                                  sca      0.0473      0.0462      0.0477      0.0471      0.0465      0.0471      0.0471      0.0469      0.0473      0.0491      0.0471      0.0495 
scene0790_00                                  sca      0.0301      0.0277      0.0307      0.0288      0.0285      0.0271      0.0290      0.0272      0.0268      0.0266      0.0286      0.0282 
scene0791_00                                  sca      0.0525      0.0523      0.0537      0.0529      0.0523      0.0508      0.0521      0.0522      0.0516      0.0504      0.0528      0.0517 
scene0805_00                                  sca      0.0388      0.0374      0.0397      0.0385      0.0368      0.0356      0.0394      0.0370      0.0371      0.0360      0.0389      0.0376 
rgbd_dataset_freiburg3_sitting_halfsphere     tum      0.0985      0.0746      0.0818      0.0750      0.0771      0.0714      0.0782      0.0734      0.0731      0.0707      0.0734      0.0703 
rgbd_dataset_freiburg3_sitting_rpy            tum      0.1214      0.1102      0.1199      0.1108      0.1101      0.1024      0.1171      0.1029      0.1086      0.1023      0.1108      0.1048 
rgbd_dataset_freiburg3_sitting_static         tum      0.0797      0.0822      0.0810      0.0848      0.0810      0.0852      0.0792      0.0828      0.0816      0.0869      0.0850      0.0896 
rgbd_dataset_freiburg3_sitting_xyz            tum      0.0779      0.0635      0.0768      0.0635      0.0674      0.0590      0.0663      0.0590      0.0605      0.0577      0.0607      0.0580 
rgbd_dataset_freiburg3_walking_halfsphere     tum      0.1533      0.1411      0.1532      0.1428      0.1410      0.1412      0.1342      0.1419      0.1350      0.1415      0.1362      0.1429 
rgbd_dataset_freiburg3_walking_rpy            tum      0.1723      0.1650      0.1743      0.1651      0.1702      0.1544      0.1736      0.1615      0.1663      0.1566      0.1625      0.1566 
rgbd_dataset_freiburg3_walking_static         tum      0.0995      0.1047      0.1012      0.1072      0.1029      0.1106      0.1079      0.1157      0.1146      0.1179      0.1184      0.1207 
rgbd_dataset_freiburg3_walking_xyz            tum      0.1006      0.0963      0.1006      0.0963      0.1013      0.0959      0.0997      0.0929      0.0934      0.0963      0.0934      0.0963 
================================================================================
